ID,Name,Description,ColumnSpec,Nexus_File,Concepticon_ID,Concepticon_Gloss
1,ALL_A,,,data,98,ALL
2,ALL_B,,,data,98,ALL
3,ALL_C,,,data,98,ALL
4,ALL_D,,,data,98,ALL
5,ASHES_A,,,data,646,ASH
6,ASHES_B,,,data,646,ASH
7,ASHES_C,,,data,646,ASH
8,ASHES_D,,,data,646,ASH
9,ASHES_E,,,data,646,ASH
10,ASHES_F,,,data,646,ASH
11,ASHES_G,,,data,646,ASH
12,ASHES_H,,,data,646,ASH
13,BARKTREE_A,,,data,1204,BARK
14,BARKTREE_B,,,data,1204,BARK
15,BARKTREE_C,,,data,1204,BARK
16,BARKTREE_D,,,data,1204,BARK
17,BARKTREE_E,,,data,1204,BARK
18,BARKTREE_F,,,data,1204,BARK
19,BARKTREE_G,,,data,1204,BARK
20,BARKTREE_H,,,data,1204,BARK
21,BARKTREE_I,,,data,1204,BARK
22,BARKTREE_J,,,data,1204,BARK
23,BARKTREE_K,,,data,1204,BARK
24,BELLY_A,,,data,1251,BELLY
25,BELLY_B,,,data,1251,BELLY
26,BELLY_C,,,data,1251,BELLY
27,BELLY_D,,,data,1251,BELLY
28,BELLY_E,,,data,1251,BELLY
29,BELLY_F,,,data,1251,BELLY
30,BELLY_G,,,data,1251,BELLY
31,BELLY_H,,,data,1251,BELLY
32,BELLY_I,,,data,1251,BELLY
33,BELLY_J,,,data,1251,BELLY
34,BIG_A,,,data,1202,BIG
35,BIG_B,,,data,1202,BIG
36,BIG_C,,,data,1202,BIG
37,BIG_D,,,data,1202,BIG
38,BIG_E,,,data,1202,BIG
39,BIG_F,,,data,1202,BIG
40,BIG_G,,,data,1202,BIG
41,BIG_H,,,data,1202,BIG
42,BIG_I,,,data,1202,BIG
43,BIG_J,,,data,1202,BIG
44,BIG_K,,,data,1202,BIG
45,BIG_L,,,data,1202,BIG
46,BIG_M,,,data,1202,BIG
47,BIG_N,,,data,1202,BIG
48,BIG_O,,,data,1202,BIG
49,BIG_P,,,data,1202,BIG
50,BIG_Q,,,data,1202,BIG
51,BIRD_A,,,data,937,BIRD
52,BIRD_B,,,data,937,BIRD
53,BIRD_C,,,data,937,BIRD
54,BIRD_D,,,data,937,BIRD
55,BIRD_E,,,data,937,BIRD
56,BIRD_F,,,data,937,BIRD
57,BIRD_G,,,data,937,BIRD
58,BITEV._A,,,data,1403,BITE
59,BITEV._B,,,data,1403,BITE
60,BITEV._C,,,data,1403,BITE
61,BITEV._D,,,data,1403,BITE
62,BITEV._E,,,data,1403,BITE
63,BITEV._F,,,data,1403,BITE
64,BITEV._G,,,data,1403,BITE
65,BLACK_A,,,data,163,BLACK
66,BLACK_B,,,data,163,BLACK
67,BLACK_C,,,data,163,BLACK
68,BLACK_D,,,data,163,BLACK
69,BLACK_E,,,data,163,BLACK
70,BLACK_F,,,data,163,BLACK
71,BLACK_G,,,data,163,BLACK
72,BLACK_H,,,data,163,BLACK
73,BLACK_I,,,data,163,BLACK
74,BLACK_J,,,data,163,BLACK
75,BLACK_K,,,data,163,BLACK
76,BLACK_L,,,data,163,BLACK
77,BLOOD_A,,,data,946,BLOOD
78,BLOOD_B,,,data,946,BLOOD
79,BLOOD_C,,,data,946,BLOOD
80,BONE_A,,,data,1394,BONE
81,BONE_B,,,data,1394,BONE
82,BONE_C,,,data,1394,BONE
83,BONE_D,,,data,1394,BONE
84,BONE_E,,,data,1394,BONE
85,BONE_F,,,data,1394,BONE
86,BREAST_A,,,data,1402,BREAST
87,BREAST_B,,,data,1402,BREAST
88,BREAST_C,,,data,1402,BREAST
89,BREAST_D,,,data,1402,BREAST
90,BREAST_E,,,data,1402,BREAST
91,BREAST_F,,,data,1402,BREAST
92,BURNTR.V._A,,,data,141,BURN (SOMETHING)
93,BURNTR.V._B,,,data,141,BURN (SOMETHING)
94,BURNTR.V._C,,,data,141,BURN (SOMETHING)
95,BURNTR.V._D,,,data,141,BURN (SOMETHING)
