ID,Name,Nexus_File,rooted,type,method,scaling,Source
summary,TREE1,summary.trees,true,summary,bayesian,years,Kitchen2009
posterior-1,STATE_3970000,posterior.trees,true,sample,bayesian,years,Kitchen2009
posterior-2,STATE_9230000,posterior.trees,true,sample,bayesian,years,Kitchen2009
posterior-3,STATE_16920000,posterior.trees,true,sample,bayesian,years,Kitchen2009
posterior-4,STATE_15060000,posterior.trees,true,sample,bayesian,years,Kitchen2009
posterior-5,STATE_14350000,posterior.trees,true,sample,bayesian,years,Kitchen2009
posterior-6,STATE_13390000,posterior.trees,true,sample,bayesian,years,Kitchen2009
posterior-7,STATE_8910000,posterior.trees,true,sample,bayesian,years,Kitchen2009
posterior-8,STATE_17060000,posterior.trees,true,sample,bayesian,years,Kitchen2009
posterior-9,STATE_19000000,posterior.trees,true,sample,bayesian,years,Kitchen2009
posterior-10,STATE_19920000,posterior.trees,true,sample,bayesian,years,Kitchen2009
posterior-11,STATE_4090000,posterior.trees,true,sample,bayesian,years,Kitchen2009
posterior-12,STATE_14730000,posterior.trees,true,sample,bayesian,years,Kitchen2009
posterior-13,STATE_3650000,posterior.trees,true,sample,bayesian,years,Kitchen2009
posterior-14,STATE_18040000,posterior.trees,true,sample,bayesian,years,Kitchen2009
posterior-15,STATE_4980000,posterior.trees,true,sample,bayesian,years,Kitchen2009
posterior-16,STATE_16580000,posterior.trees,true,sample,bayesian,years,Kitchen2009
posterior-17,STATE_19530000,posterior.trees,true,sample,bayesian,years,Kitchen2009
posterior-18,STATE_7540000,posterior.trees,true,sample,bayesian,years,Kitchen2009
posterior-19,STATE_18340000,posterior.trees,true,sample,bayesian,years,Kitchen2009
posterior-20,STATE_11420000,posterior.trees,true,sample,bayesian,years,Kitchen2009
posterior-21,STATE_6870000,posterior.trees,true,sample,bayesian,years,Kitchen2009
posterior-22,STATE_12950000,posterior.trees,true,sample,bayesian,years,Kitchen2009
posterior-23,STATE_6640000,posterior.trees,true,sample,bayesian,years,Kitchen2009
posterior-24,STATE_14950000,posterior.trees,true,sample,bayesian,years,Kitchen2009
posterior-25,STATE_19220000,posterior.trees,true,sample,bayesian,years,Kitchen2009
posterior-26,STATE_11720000,posterior.trees,true,sample,bayesian,years,Kitchen2009
posterior-27,STATE_11920000,posterior.trees,true,sample,bayesian,years,Kitchen2009
posterior-28,STATE_4820000,posterior.trees,true,sample,bayesian,years,Kitchen2009
posterior-29,STATE_6080000,posterior.trees,true,sample,bayesian,years,Kitchen2009
posterior-30,STATE_16080000,posterior.trees,true,sample,bayesian,years,Kitchen2009
posterior-31,STATE_9210000,posterior.trees,true,sample,bayesian,years,Kitchen2009
posterior-32,STATE_7870000,posterior.trees,true,sample,bayesian,years,Kitchen2009
posterior-33,STATE_17670000,posterior.trees,true,sample,bayesian,years,Kitchen2009
posterior-34,STATE_9860000,posterior.trees,true,sample,bayesian,years,Kitchen2009
posterior-35,STATE_7990000,posterior.trees,true,sample,bayesian,years,Kitchen2009
