Site,Label,Concepticon_ID,Concepticon_Gloss
1,ALL_A,98,ALL
2,ALL_B,98,ALL
3,ALL_C,98,ALL
4,ALL_D,98,ALL
5,ASHES_A,646,ASH
6,ASHES_B,646,ASH
7,ASHES_C,646,ASH
8,ASHES_D,646,ASH
9,ASHES_E,646,ASH
10,ASHES_F,646,ASH
11,ASHES_G,646,ASH
12,ASHES_H,646,ASH
13,BARKTREE_A,1204,BARK
14,BARKTREE_B,1204,BARK
15,BARKTREE_C,1204,BARK
16,BARKTREE_D,1204,BARK
17,BARKTREE_E,1204,BARK
18,BARKTREE_F,1204,BARK
19,BARKTREE_G,1204,BARK
20,BARKTREE_H,1204,BARK
21,BARKTREE_I,1204,BARK
22,BARKTREE_J,1204,BARK
23,BARKTREE_K,1204,BARK
24,BELLY_A,1251,BELLY
25,BELLY_B,1251,BELLY
26,BELLY_C,1251,BELLY
27,BELLY_D,1251,BELLY
28,BELLY_E,1251,BELLY
29,BELLY_F,1251,BELLY
30,BELLY_G,1251,BELLY
31,BELLY_H,1251,BELLY
32,BELLY_I,1251,BELLY
33,BELLY_J,1251,BELLY
34,BIG_A,1202,BIG
35,BIG_B,1202,BIG
36,BIG_C,1202,BIG
37,BIG_D,1202,BIG
38,BIG_E,1202,BIG
39,BIG_F,1202,BIG
40,BIG_G,1202,BIG
41,BIG_H,1202,BIG
42,BIG_I,1202,BIG
43,BIG_J,1202,BIG
44,BIG_K,1202,BIG
45,BIG_L,1202,BIG
46,BIG_M,1202,BIG
47,BIG_N,1202,BIG
48,BIG_O,1202,BIG
49,BIG_P,1202,BIG
50,BIG_Q,1202,BIG
51,BIRD_A,937,BIRD
52,BIRD_B,937,BIRD
53,BIRD_C,937,BIRD
54,BIRD_D,937,BIRD
55,BIRD_E,937,BIRD
56,BIRD_F,937,BIRD
57,BIRD_G,937,BIRD
58,BITEV._A,1403,BITE
59,BITEV._B,1403,BITE
60,BITEV._C,1403,BITE
61,BITEV._D,1403,BITE
62,BITEV._E,1403,BITE
63,BITEV._F,1403,BITE
64,BITEV._G,1403,BITE
65,BLACK_A,163,BLACK
66,BLACK_B,163,BLACK
67,BLACK_C,163,BLACK
68,BLACK_D,163,BLACK
69,BLACK_E,163,BLACK
70,BLACK_F,163,BLACK
71,BLACK_G,163,BLACK
72,BLACK_H,163,BLACK
73,BLACK_I,163,BLACK
74,BLACK_J,163,BLACK
75,BLACK_K,163,BLACK
76,BLACK_L,163,BLACK
77,BLOOD_A,946,BLOOD
78,BLOOD_B,946,BLOOD
79,BLOOD_C,946,BLOOD
80,BONE_A,1394,BONE
81,BONE_B,1394,BONE
82,BONE_C,1394,BONE
83,BONE_D,1394,BONE
84,BONE_E,1394,BONE
85,BONE_F,1394,BONE
86,BREAST_A,1402,BREAST
87,BREAST_B,1402,BREAST
88,BREAST_C,1402,BREAST
89,BREAST_D,1402,BREAST
90,BREAST_E,1402,BREAST
91,BREAST_F,1402,BREAST
92,BURNTR.V._A,141,BURN (SOMETHING)
93,BURNTR.V._B,141,BURN (SOMETHING)
94,BURNTR.V._C,141,BURN (SOMETHING)
